Location	Text on Tile	Action	Price	Rent	Rent with Upgrade	Upgrade Cost	Description Text	Rent/Payment Text	Upgrade Text
14	Mad Mushroom	0	160	12	60	100	Mad Mushroom makes all of their food using only the best ingredients and will deliver it right to your door. They make their dough in store daily and all of their vegetables are hand cut so they are always fresh. They offer speedy and reliable delivery service so you never have to wait long to fill your head with the best food in town and getting your hands on some of their famous Original Cheesestix has never been more convenient with their easy to use Online Ordering. Feed Your Head!	You owe ${}. Enjoy your Cheesy Bread!	Most customers order Mad Mush online. Spruce up your website and Online Ordering system for $100 and rake in that dough. Players will now spend $60 at Mad Mushroom.
15	Gold Loop	3	200	0	0	0	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an 'unlimited access' agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. 28 Gold Loop operates every 12 minutes Monday-Friday, 6:57 a.m.-6:12 p.m . This route serves the Purdue Village, Shreve Hall, Hillenbrand Hall, McCutcheon Hall, Honors College, Class of 1950, Stewart Center, the Memorial Mall, and the Discovery Lot.	Thanks for riding the Gold Loop! Pay {} for bus fare.	0
16	Triple XXX	0	180	14	70	100	Today, the last iconic Triple XXX Thirst Station remains in West Lafayette, Indiana, where it’s been on the hill, but on the level, since 1929. Just steps from the campus of Purdue University in West Lafayette, Indiana, you can’t help but notice the Triple XXX on the hill in Chauncey Village. Ask almost any regular who sits along the winding countertop how long they’ve been coming in and ordering the Breakfast Special, or Duane Purvis, and you’ll hear some great stories that span generations. Tourists, travelers, and locals alike, could count on great food at affordable prices. 	Hope you enjoyed your burger! Pay {} on the way out.	The Drive-In hasn't been used as much in recent years. Spruce it up and launch an ad-campaign for $100 to make drive-in's popular on campus again! Players will now spend $70 at Triple XXX. 
17	Community Chest	5	0	0	0	0	Community Chest!		0
18	9 Irish Brothers	0	180	14	70	100	The story of O'Bryan's Nine Irish Brothers begins 30 years ago, when founder Jerry O'Bryan told his wife, Jan, that if his other business didn't work out, he wanted to open an Irish pub. Jerry's business, The Hairman, ended up being a campus icon, but after 30 years, two children and a grandchild, Jerry finally decided it was time to realize his dream, an authentic Irish pub serving traditional Irish fare, Guinness by the pint, and featuring live music and the friendly, upbeat atmosphere typical of Irish pubs world-wide. O'Bryan's Nine Irish Brothers is an award-winning traditional Irish pub--recently named the Best Irish Pub in the State of Indiana by Yelp and Buzzfeed, as well as the 'Irish Pub Worth Traveling For' in Indianapolis by TripAdvisor. 	No better time for a pint at Nine Irish! Spend ${} on your Guinness and never forget to settle your tab before the night is out.	Live music always draws in the crowds at an Irish pub. Spend $100 on hiring more local talent to play at the pub, and people are going to stay longer for more of that traditional Irish fare. Players will now spend $70 at Nine Irish Brothers.
19	Jimmy Johns	0	200	16	80	100	Jimmy John's serve from-scratch food made with excellent ingredients. At Jimmy John'ss the food is simple; it's clean, and it's fresh! They use locally purchased produce, which is brought in fresh and hand sliced daily. Their tuna salad is made from scratch by hand. They real provolone cheese, oven-roasted turkey, choice top round roast beef, real wood-smoked ham, dry cured genoa salami, and spicy capicola are also brought in fresh and sliced by hand daily – in every single Jimmy John's location. Their bread bakers bake our French bread all day, every day. They try to manage bread so that all of our French bread is served within four hours of when it was baked. If you like whole grain wheat bread, try the 9-grain wheat bread – thick sliced and pretty close to perfect.	Freaky Fast! Freaky Good! Pay ${} for that sandwich.	There's a great demand for sandwich delivery these days, and you need fast deliverymen. Spend $100 on better bikes and more deliverymen to deliver Jimmy John's. Players will now spend $80 when they order from Jimmy John's.
20	Free Parking	4	0	0	0	0	Free Parking! As long as it's not Mon-Fri, 7am-5pm		0
21	Brothers Bar and Grill	0	220	18	90	150	Brothers is a modernized throwback to the old Midwestern corner tavern. A clean, relaxed social hangout; our bar stock-full of cold beer and drink with a kitchen in the back serving up comfortable American food fare. Food portions are large and juicy; Drink prices are good and plenty.  A lot of televisions and not a bad seat in the house. It's hard to imagine you won't leave here satisfied.	Hope you enjoyed your night! Pay your tab of {} before you leave!	Thursday nights start slow, invest $90 in buying T-shirts and giving them out for free. Players will now spend $150 at Brothers.
22	Chance	1	0	0	0	0	Chance!		0
23	Neon Cactus	0	220	18	90	150	Every week the Neon Cactus brings you the most variety of entertainment under one roof! With over 22,000 square feet the Neon Cactus provides something for almost anyone to enjoy!... Combine the largest dance floor with fantastic in-house DJs and you have no reason not to dance all night long! Pool tables, darts and over a dozen televisions, including 4 large projection screens make every seat in the main room a GREAT ONE to catch up on the days events and watch sports while they happen! SOCIAL! with Bruce 'The Piano Man' Barker in the Rusty Bucket and enjoy AND participate in the area's longest running live act!	Hope you enjoyed your night! Pay your tab of {} before you leave!	Thursday nights are going so well, invest $150 on another employee and collect a cover charge. Players will now spend $90 at the Neon Cactus.
24	Harry's Chocolate Shop	0	240	20	100	150	In 1919, Harry J. Marack opened Harry'ss Chocolate Shop at 329 West State Street in West Lafayette, Indiana. The Marack family operated the Chocolate Shop as the only Soda Fountain near Purdue University well into the 1920s. Primarily serving fountain drinks and luncheonette items, they acquired a license to serve beer and subsequently liquor. Opened as a family business in 1919, it has operated as so for more than 80 years at the same corner of State and Pierce Streets.	Hope you enjoyed your night at the Chocalate Shop! Pay your tab of {} before you leave!	Credit card fees are high, invest $150 to implement a $10 minimum on all credit purchases. Players will now spend $100 at Harry's Chocolate Shop.
25	Outer Loop	3	200	0	0	0	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an 'unlimited access' agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. 27 Outer Loop runs every 10 minutes Monday-Friday 8:10 a.m.-6:20 p.m. The route runs counterclockwise around campus. Destinations along this route include Rawls Hall, Wang Hall, Cary Quad, Ford Dining Court, Owen Hall, Córdova Recreational Sports Center, Hillenbrand Hall, Harrison Hall, McCutcheon Hall, Purdue Village, Discovery Lot and Lynn Hall.	Thanks for riding the Outer Loop! Pay {} for bus fare.	0
26	Purdue CoRec	0	260	22	110	150	Providing the Purdue community with recreational and wellness activities that contribute to learning and the pursuit of an active, healthy lifestyle, Purdue's Cordova Recreational Sports Center will be a recognized leader in developing individuals to pursue lifelong wellness. It will create a respectful environment that celebrates the intrinsic worth of each individual, facilitates an open exchange of ideas, nurtures creative expression, and accentuates cross cultural interaction. Recreation plays a powerful role in transformative learning and enhances academic performance.	Membership at the Co-Rec might be free for students, but not the amazing group classes nor the smoothies! Spend ${} at the Co-Rec.	Working out at the gym, swimming at the pool, or climbing a rock-wall... doesn't matter what you are doing at the Co-Rec, you're sure to be thirsty at the end of it! Capitalize on their thirst and spend $150 on adding a Freshen's so that people at the Co-Rec can satisfy their thirst with deliciously cool smoothies! Players will now spend $110 at the Purdue Co-Rec.
27	Ross-Aide Stadium	0	260	22	110	150	Nestled on the northern edge of the Purdue University campus, venerable Ross-Ade Stadium celebrates its 94th season as the home of Boilermaker football in 2017. Ross-Ade was dedicated Nov. 22, 1924, in a game against intrastate rival Indiana, which the Boilermakers won 26-7. The stadium is named for its two principal benefactors, alumni David E. Ross, former president of the Board of Trustees, and George Ade, a playwright and humorist. It was Ross who conceived the idea for the stadium and selected the site. He and Ade purchased and presented to the university the 65-acre tract on which the stadium is located. In 2006, a cold-tolerant strain of Bermuda grass was installed in Ross-Ade, making it the first Big Ten Conference stadium with such a surface. A year later, a 31-foot by 68-foot Daktronics video board was installed at the south end of Ross-Ade to significantly improve replay and other entertainment possibilities. The South End Zone Patio, which features tailgate food and beverages in an attractive 16,000-square foot area, opened in 2014 and is available to football season-ticket holders and Purdue students who are members of the Ross-Ade Brigade. The patio is a temporary addition while plans for a multi-purpose building are considered.	The team might not be the greatest in the nation, but buying tickets and watching a home game is great for School Spirit! Spend ${} on football tickets!	Football is not doing great, invest $150 and make students buy Football Tickets with their Basketball Tickets. Players will now spend $110 at Ross-Aide Stadium.
28	Groceries	2	150	0	0	0	Time to buy graceries! This cost you $150		0
29	Mackey Arena	0	280	24	120	150	Purdue teams have won nearly 80 percent of the games played in Mackey, and through the 2016-17 season, the men's program boasted a 606-138 record (.815 winning percentage) and the women's program a 431-143 record (.751 winning percentag).Originally named Purdue Arena, groundbreaking for the circular concrete and steel structure with a domed roof took place July 20, 1965. It was hailed as 'the first of its kind among collegiate sports facilities.' The $6 million project took just over two years to complete and was dedicated Dec. 2, 1967, with a ceremony that included recognizing 10 former Boilermaker All-Americans, led by John Wooden and Charles 'Stretch' Murphy, and a speech by Indiana governor Roger Branigin.	Basketball at Purdue is always a fun show, and Mackey Arena is an amazing place to watch our atheletes. Spend ${} on basketball tickets. Go Boilermakers!	Basketball is not doing great, invest $150 in a new coach. Players will now spend $120 at Mackey Arena.
30	Go To Open Lab	4	0	0	0	0	Go to open lab. Go directly to open lab. Do not pass Go. Do not collect $200.		0
31	Grant Street Station	0	300	26	130	200	Luxury Apartments near Purdue. Fully furnished apartments that include granite countertops, stainless steel appliances, in-unit washer and dryer, and a private parking garage. Grant Street Station is located at the corner of S. Grant Street and Harrison Street, minutes from the Purdue Memorial Union and Stewart Center. Park your car in our secured garage and stay protected from the weather! The Grant Street Station experience includes a pool, hot tubs, a 24-hour fitness center and tanning bed.	Everyone needs to pay rent. You spend ${} on your housing and utilities bill.	Most college students don't want to have to buy their own furniture. Furnish all your apartments for $200 and you can raise their rent payments. Players will now spend $130 at Grant Street Station.
32	Chauncey Square	0	300	26	130	200	Walk to class - and everything else when you live at Chauncey Square! THE best location. Stay-fit amenities. Tools that help you make the grade. And community events that keep you connected with friends. All make Chauncey Square the premier student housing choice at Purdue University. Get the lifestyle you want with our fully furnished apartments with private bedroom and bathroom floor plan options, 24-hour, state-of-the-art fitness center and Academic Success Center! Plus, our professional on-site management and staff dedicated to serving your needs and helping you enjoy your college experience at Purdue University. 	Everyone needs to pay rent. You spend ${} on your housing and utilities bill.	Most college students don't want to have to buy their own furniture. Furnish all your apartments for $200 and you can raise their rent payments. Players will now spend $130 at Chancey Square.
33	Community Chest	5	150	0	0	0	Community Chest!		0
34	Fuse 	0	320	28	150	200	Living at Fuse puts you in the middle of all the action and is just steps from the Purdue Campus and Mackey Arena! The vibrant and historic downtown Lafayette includes quaint coffee shops, restaurants, bars, shopping and the state’s oldest drive-through restaurant. Fuse offers studio, one-, two-, three-, and four-bedroom floor plans. Each apartment home comes fully furnished in modern design including stainless steel appliances, quartz counter tops, hardwood-style floors, and more. Additionally, Fuse offers community amenities unbeatable anywhere else in Lafayette including a fully equipped gym, yoga studio, free bike rental, retail on the first floor and more!	Everyone needs to pay rent. You spend ${} on your housing and utilities bill.	Most college students don't want to have to buy their own furniture. Furnish all your apartments for $200 and you can raise their rent payments. Players will now spend $130 at the Fuse.
35	Black Loop	3	200	0	0	0	CityBus is a contracted partner with Purdue University for public transportation services. The agreement is called an 'unlimited access' agreement because it gives Purdue students, faculty, and staff unlimited, fare-free access to the CityBus system. The value of the agreement is negotiated each year. 14 Black Loop operates every 30 minutes Sunday through Saturday, 5:25 p.m.-11:45 p.m. This loop provides a safe way to travel at night to and from campus. Destinations along this route include Tower Acres, Córdova Recreational Sports Center, Cary Quad, Armstrong Hall, Physics, Purdue Memorial Union, Stewart Center, Purdue Police Department, Discovery Learning Research Center, Discovery Parking Lot and Purdue Village.	Thanks for riding the Black Loop! Pay {} for bus fare.	0
36	Chance	1	0	0	0	0	Chance!		0
37	Follets Purdue West Bookstore	0	350	35	175	200	You need a campus store partner that shares your mission, understands your reality, and demonstrates a successful past and visionary future. As the largest college store operator in North America, Follet's serves 5 million students across nearly 1,200 stores - fueling education everywhere learning takes place. This broad perspective enables Follett's to move beyond the traditional campus bookstore to serve as a gateway to knowledge and enhance the campus experience for students.	Time to prepare for a new semester, and you need new textbooks. Spend ${} on getting all the books you need for all your classes.	A Professor has decided they are going to teach from the textbook that they wrote. Spend $200 on buying the new textbooks. Players now spend $175 at Follet's Purdue West Bookstore.
38	Chegg Account	2	100	0	0	0	School is hard. Pay $100 to keep your Chegg account		0
39	University Bookstore	0	400	50	200	200	When you need the book today, the Purdue University Bookstore may be your best bet. Located near the Union and the Stadium, the University Bookstore not only is a great place for students to find their textbooks, but also to buy Purdue apparel, souveniers, as well as graduation gifts and frames.The choices for students at Purdue University has never been more abundant or more convenient!	Time to prepare for a new semester, and you need new textbooks. Spend ${} on getting all the books you need for all your classes.	The Professor is requiring their students to have the newest version of their textbooks. This new edition of the book is exactly the same as the edition released laster year... only with different page numbers. Invest $200 on buying the new edition. Players will now spend $200 on buying the newest edition of their textbook.
